IndicatorName,IndicatorCode,Location,LocationCode,Year,Disaggregation,NumericValue,DisplayValue,Comments,LocationShort,Vaccine
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Afghanistan,AFG,2023,,60.0,60,,Afghanistan,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,African Region,AFR,2023,,74.0,74,,African Region,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Albania,ALB,2023,,97.0,97,,Albania,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Algeria,DZA,2023,,92.0,92,,Algeria,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Andorra,AND,2023,,98.0,98,,Andorra,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Angola,AGO,2023,,54.0,54,,Angola,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Antigua and Barbuda,ATG,2023,,97.0,97,,Antigua and Barbuda,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Argentina,ARG,2023,,66.0,66,,Argentina,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Armenia,ARM,2023,,94.0,94,,Armenia,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Australia,AUS,2023,,94.0,94,,Australia,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Austria,AUT,2023,,84.0,84,,Austria,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Azerbaijan,AZE,2023,,83.0,83,,Azerbaijan,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Bahamas,BHS,2023,,87.0,87,,Bahamas,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Bahrain,BHR,2023,,99.0,99,,Bahrain,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Bangladesh,BGD,2023,,98.0,98,,Bangladesh,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Barbados,BRB,2023,,85.0,85,,Barbados,DTP3
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),WHS4_100,Belarus,BLR,2023,,98.0,98,,Belarus,DTP3
