Vaccine,Year,Median
DTP3,2000,90.0
DTP3,2001,91.0
DTP3,2002,91.0
DTP3,2003,92.0
DTP3,2004,91.5
DTP3,2005,93.0
DTP3,2006,93.0
DTP3,2007,94.0
DTP3,2008,93.0
DTP3,2009,94.0
DTP3,2010,94.0
DTP3,2011,94.0
DTP3,2012,94.0
DTP3,2013,94.0
DTP3,2014,94.0
DTP3,2015,93.0
DTP3,2016,94.0
DTP3,2017,92.0
DTP3,2018,93.0
DTP3,2019,93.0
DTP3,2020,91.0
DTP3,2021,91.0
DTP3,2022,91.0
DTP3,2023,91.0
DTP3,2024,91.0
HPV,2010,44.5
HPV,2011,57.0
HPV,2012,54.0
HPV,2013,55.0
HPV,2014,61.0
HPV,2015,57.0
HPV,2016,54.5
HPV,2017,56.0
HPV,2018,54.0
HPV,2019,57.0
HPV,2020,49.0
HPV,2021,42.0
HPV,2022,49.0
HPV,2023,52.0
HPV,2024,60.0
MCV2,2000,0.0
MCV2,2001,0.0
MCV2,2002,0.0
MCV2,2003,0.0
MCV2,2004,25.5
MCV2,2005,57.0
MCV2,2006,63.0
MCV2,2007,77.0
MCV2,2008,79.0
MCV2,2009,79.0
MCV2,2010,79.0
MCV2,2011,81.0
MCV2,2012,81.5
MCV2,2013,84.0
MCV2,2014,86.0
MCV2,2015,86.5
MCV2,2016,86.0
MCV2,2017,86.0
MCV2,2018,86.5
MCV2,2019,87.0
MCV2,2020,83.0
MCV2,2021,82.0
MCV2,2022,83.5
MCV2,2023,83.0
MCV2,2024,82.5
PCV3,2008,0.0
PCV3,2009,0.0
PCV3,2010,0.0
PCV3,2011,0.0
PCV3,2012,0.0
PCV3,2013,0.0
PCV3,2014,41.0
PCV3,2015,67.0
PCV3,2016,77.0
PCV3,2017,81.0
PCV3,2018,82.0
PCV3,2019,82.5
PCV3,2020,82.0
PCV3,2021,79.0
PCV3,2022,83.0
PCV3,2023,83.0
PCV3,2024,85.0
