Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName,Vaccine
9894180,WHS4_100,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,,,2008,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9894409,WHS4_100,COUNTRY,GTM,YEAR,AMR,Americas,,,2008,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9901018,WHS4_100,COUNTRY,TON,YEAR,WPR,Western Pacific,,,2021,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9905645,WHS4_100,COUNTRY,MLT,YEAR,EUR,Europe,,,2000,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9912434,WHS4_100,COUNTRY,GNB,YEAR,AFR,Africa,,,2013,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9914138,WHS4_100,COUNTRY,SEN,YEAR,AFR,Africa,,,2007,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9927094,WHS4_100,COUNTRY,GMB,YEAR,AFR,Africa,,,2015,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9928247,WHS4_100,REGION,SEAR,YEAR,,,,,2006,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9928575,WHS4_100,COUNTRY,NZL,YEAR,WPR,Western Pacific,,,2003,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
9933624,WHS4_100,COUNTRY,TGO,YEAR,AFR,Africa,,,2010,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),DTP3
