Location,LocationCode,doctors,nurses,pharmacists,gov_health_exp,UHC_index
Afghanistan,AFG,3.17,5.49,0.32,1.12605727,40.88461
Albania,ALB,18.79,58.21,10.8,9.19367313,63.76895
Algeria,DZA,16.6,25.08,3.0,5.3613677,74.11164
Andorra,AND,50.68,47.22,9.77,15.87091827,78.86248
Angola,AGO,2.44,18.73,0.4,6.69963503,36.72917
Antigua and Barbuda,ATG,29.17,96.5,,13.98856258,75.79523
Argentina,ARG,51.06,47.49,5.8,15.22453022,78.52537
Armenia,ARM,33.6,47.47,0.39,6.50275373,68.19311
Australia,AUS,40.86,134.5,9.37,20.2216053,80.0
Austria,AUT,55.15,112.8,7.62,16.31686401,80.0
Azerbaijan,AZE,31.85,55.78,0.62,4.60517836,65.65727
Bahamas,BHS,18.95,42.24,,15.77038956,77.19485
Bahrain,BHR,7.41,26.48,1.65,8.64387417,76.03581
Bangladesh,BGD,7.22,6.64,1.1,1.19059575,51.61948
Barbados,BRB,29.58,36.66,11.41,8.74103642,76.92128
Belarus,BLR,47.17,108.15,4.5,12.27703667,78.56763
Belgium,BEL,65.25,128.85,21.18,15.19003677,80.0
Belize,BLZ,10.86,20.6,7.7,11.48359108,67.60394
Benin,BEN,2.16,6.11,0.31,2.59515929,37.89256
Bhutan,BTN,5.53,20.52,0.68,6.69145536,60.42171
Bolivia (Plurinational State of),BOL,12.84,16.24,2.41,16.35411263,65.06229
Bosnia and Herzegovina,BIH,25.84,67.27,1.38,14.78706551,66.47112
Botswana,BWA,3.79,30.18,0.53,14.61503124,55.17985
Brazil,BRA,23.57,55.02,4.14,8.99684525,80.0
Brunei Darussalam,BRN,18.86,66.17,2.1,6.36393595,78.34303
Bulgaria,BGR,43.28,42.04,9.28,11.59035015,73.4856
Burkina Faso,BFA,1.48,9.49,0.39,8.39684868,39.60456
Burundi,BDI,0.78,7.94,0.09,4.72897339,41.46003
Cabo Verde,CPV,7.3,17.98,0.19,16.0616703,71.17687
Cambodia,KHM,2.11,10.08,0.46,6.99103546,57.98489
Cameroon,CMR,1.36,6.59,0.22,3.93554211,43.87635
Canada,CAN,28.19,112.57,11.42,19.49666595,80.0
Central African Republic,CAF,0.74,10.97,0.03,9.02843761,32.26192
Chad,TCD,0.85,1.67,0.08,7.26373339,29.40162
Chile,CHL,33.34,54.54,7.27,18.95258331,80.0
